Date,Close
1986-03-13,
1986-03-14,
1986-03-17,
1986-03-18,
1986-03-19,
1986-03-20,
1986-03-21,
1986-03-24,
1986-03-25,
1986-03-26,
1986-03-27,
1986-03-31,
1986-04-01,
1986-04-02,
1986-04-03,
1986-04-04,
1986-04-07,
1986-04-08,
1986-04-09,
1986-04-10,
1986-04-11,
1986-04-14,
1986-04-15,
1986-04-16,
1986-04-17,
1986-04-18,
1986-04-21,
1986-04-22,
1986-04-23,
1986-04-24,
1986-04-25,
1986-04-28,
1986-04-29,
1986-04-30,
1986-05-01,
1986-05-02,
1986-05-05,
1986-05-06,
1986-05-07,
1986-05-08,
1986-05-09,
1986-05-12,
1986-05-13,
1986-05-14,
1986-05-15,
1986-05-16,
1986-05-19,
1986-05-20,
1986-05-21,
1986-05-22,
1986-05-23,
1986-05-27,
1986-05-28,
1986-05-29,
1986-05-30,
1986-06-02,
1986-06-03,
1986-06-04,
1986-06-05,
1986-06-06,
1986-06-09,
1986-06-10,
1986-06-11,
1986-06-12,
1986-06-13,
1986-06-16,
1986-06-17,
1986-06-18,
1986-06-19,
1986-06-20,
1986-06-23,
1986-06-24,
1986-06-25,
1986-06-26,
1986-06-27,
1986-06-30,
1986-07-01,
1986-07-02,
1986-07-03,
1986-07-07,
1986-07-08,
1986-07-09,
1986-07-10,
1986-07-11,
1986-07-14,
1986-07-15,
1986-07-16,
1986-07-17,
1986-07-18,
1986-07-21,
1986-07-22,
1986-07-23,
1986-07-24,
1986-07-25,
1986-07-28,
1986-07-29,
1986-07-30,
1986-07-31,
1986-08-01,
1986-08-04,
1986-08-05,
1986-08-06,
1986-08-07,
1986-08-08,
1986-08-11,
1986-08-12,
1986-08-13,
1986-08-14,
1986-08-15,
1986-08-18,
1986-08-19,
1986-08-20,
1986-08-21,
1986-08-22,
1986-08-25,
1986-08-26,
1986-08-27,
1986-08-28,
1986-08-29,
1986-09-02,
1986-09-03,
1986-09-04,
1986-09-05,
1986-09-08,
1986-09-09,
1986-09-10,0.9954213661641594
1986-09-11,0.6013942804181411
1986-09-12,0.06270867677091123
1986-09-15,0.06657810331902134
1986-09-16,0.2894627129760527
1986-09-17,0.6730751687626806
1986-09-18,0.9942596902585272
1986-09-19,1.2557616073507132
1986-09-22,1.4546312898499036
1986-09-23,1.4337017285728475
1986-09-24,1.0559445578578006
1986-09-25,0.688804545985626
1986-09-26,0.7717042348800535
1986-09-29,0.6121665802147915
1986-09-30,0.5298981540087103
1986-10-01,0.3684486919712322
1986-10-02,0.3684486919712322
1986-10-03,0.6137049897185616
1986-10-06,1.2488738362062242
1986-10-07,1.2696965485676306
1986-10-08,1.4425705810036127
1986-10-09,1.5646842098626086
1986-10-10,1.8960301256415941
1986-10-13,1.4495124875907777
1986-10-14,1.2815480956451817
1986-10-15,1.598108521689805
1986-10-16,1.925293210048148
1986-10-17,2.1786944317611727
1986-10-20,2.40585972738233
1986-10-21,2.7362087391357326
1986-10-22,1.8479151848598152
1986-10-23,1.2859023210157234
1986-10-24,1.1597374155164037
1986-10-27,1.749453504094263
1986-10-28,2.1837266841788554
1986-10-29,2.0414430078845185
1986-10-30,2.217957364595772
1986-10-31,2.169419290526519
1986-11-03,2.272665769844136
1986-11-04,2.6160476318740598
1986-11-05,3.096277226596326
1986-11-06,3.3790099442754347
1986-11-07,3.254754897574869
1986-11-10,2.739814742459394
1986-11-11,2.8627761904279896
1986-11-12,2.8627761904279896
1986-11-13,2.654801924646272
1986-11-14,2.8815151217925274
1986-11-17,3.0060367696304504
1986-11-18,2.560760726037971
1986-11-19,2.871757930465105
1986-11-20,3.521568703757768
1986-11-21,3.5290531895216364
1986-11-24,3.9402527123483697
1986-11-25,3.8324727692123717
